letter,date,datestart,dateend,cicero_location,pleiades_cicero_loc_id,sender,correspondent,Correspondent location,pleiades_correspondent_loc_id,Correspondent's Transient Location,pleiades_correspondent_transient_loc_id,Other Personal Names,Inferred Names,Slaves and Freed People,Literary/Historical References,Other Locations in Letter,pleiades_other_letter_id,Peoples of a Nation,pleiades_peoples_id
Fam. 14.12,November 4 48 BCE,-11.4.48,-11.4.48,Brundisium,442509,Cicero,Terentia,Rome,423025,,,,,,,Italy,1052,,
Fam. 14.13,July 10 47 BCE,-7.10.47,-7.10.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,,Tullia; Publius Cornelius Dolabella,,,,,,
Fam. 14.14,January 23 49 BCE,-1.23.49,-1.23.49,Minturnae,432940,Cicero,Terentia; Tullia,Rome,423025,,,Marcus Tullius Cicero Minor; C. Julius Caesar; T. Pomponius Atticus; Camillus; T. Labienus; Publius Cornelius Dolabella; L. Calpurnius Piso Caesoninus; Quintus Tullius Cicero; L. Mescinius Rufus,Quintus Tullius Cicero Minor,,,,,,
Fam. 14.15,June 19 47 BCE,-6.19.47,-6.19.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Marcus Tullius Cicero Minor; C. Julius Caesar; Sicca; Tullia,,,,,,,
Fam. 14.16,January 4 47 BCE,-1.4.47,-1.4.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Volumnia,,,,,,,
Fam. 14.17,Decmeber 24 48 BCE,-12.24.48,-12.24.48,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Q. Lepta; C. Trebatius Testa; Tullia,,,,,,,
Fam. 14.18,January 22 49 BCE,-1.22.49,-1.22.49,Formiae,432839,Cicero,Terentia; Tullia,Rome,423025,,,Marcus Tullius Cicero Minor; Publius Cornelius Dolabella,,Philotimus (Cicero's freedmman),,,,,
Fam. 14.19,November 27 48 BCE,-11.27.48,-11.27.48,Brundisium,442509,Cicero,Terentia,Rome,423025,,,Tullia; T. Pomponius Atticus,,,,,,,
Fam. 14.20,October 1 47 BCE,-10.1.47,-10.1.47,Venusia,442847,Cicero,Terentia,Rome,423025,,,,,,,Tusculum,423108,,
Fam. 14.21,early June 47 BCE,-6.2.47,-6.15.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,,,,,,,,
Fam. 14.22,September 1 47 BCE,-9.1.47,-9.1.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,,,,,,,,
Fam. 14.23,August 12 47 BCE,-8.12.47,-8.12.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,C. Julius Caesar,,,,,,,
Fam. 14.24,August 11 47 BCE,-8.11.47,-8.11.47,Brundisium,442509,Cicero,Terentia,Rome,423025,,,C. Julius Caesar,,Philotimus,,,,,
Fam. 15.1,September 18 51 BCE,-9.18.51,-9.18.51,Cybistra,648614,Cicero,Consuls; Praetors; Tribunes of the Plebs; Senate; People; Plebs of Rome,Rome,423025,,,Antiochus I Theos (Dikaios Epiphanes Philorhomaios Philhellen) of Commagene; Marcus Calpurnius Bibulus; Pacorus I; Orodes II; Tarcondimotus I; Iamblichus I (phylarch); Deiotarus Of Galatia,,,,Euphrates; Syria; Commagene; Cilicia; Tyba; Mount Taurus; Lycaonia; Cappadocia; Asia,912849; 845004; 658443; 628957; 658630; 649792; 982262; 628949; 991380,Parthians; Arabs; Roman People,952097; 29475; 423025
Fam. 15.2,September 21; 22 51 BCE,-9.21.51,-9.22.51,Cybistra,648614,Cicero,Consuls; Praetors; Tribunes of the Plebs; Senate; People; Plebs of Rome,Rome,423025,,,Deiotarus Of Galatia; Artavasdes II of Armenia; Ariobarzanes III; Ariarathes X of Cappadocia,Ariobarzanes II of Cappadocia; Ariobarzanes I of Cappadocia,,,Syria; Lycaonia; Isauria; Cappadocia; Cilicia; Mount Taurus; Armenia,845004; 982262; 648653; 628949; 649792; 874350,Parthians,952097
Fam. 15.3,August 28 51 BCE,-8.28.51,-8.28.51,Iconium,648647,Cicero,M. Porcus Cato Uticensis,Rome,423025,,,Antiochus I Theos (Dikaios Epiphanes Philorhomaios Philhellen) of Commagene;  Marcus Calpurnius Bibulus,,,,Commagene; Syria; Euphrates; Cappadocia; Ephesus,658443; 845004; 912849; 628949; 599612,Armenian; Parthian,874350; 952097
