Source,Target,type,id,mention,Weight,who
24,181,Directed,170,mentioned,1,M. Mindius
24,182,Directed,171,mentioned,1,Q. Volusius Saturninus
24,183,Directed,172,mentioned,1,C. Camilius
24,184,Directed,173,mentioned,1,M. Valerius Messalla Rufus
24,33,Directed,174,mentioned,1,Q. Lepta
24,185,Directed,175,mentioned,1,T. Marius
24,20,Directed,176,mentioned,1,L. Lucceius
24,17,Directed,177,mentioned,1,Pompey
24,16,Directed,178,mentioned,1,P. Sestius
24,186,Directed,179,mentioned,1,M. Anneius
24,17,Directed,180,inferred,1,Pompey
25,9,Directed,181,mentioned,2,Servius Sulpicius Rufus
25,37,Directed,182,inferred,2,Caesar
25,57,Directed,183,mentioned,1,Marc Anthony
26,187,Directed,184,inferred,1,Aulus Caecina Minor
26,17,Directed,185,mentioned,1,Pompey
26,37,Directed,186,mentioned,2,Caesar
26,9,Directed,187,mentioned,1,Servius Sulpicius Rufus
26,10,Directed,188,mentioned,1,M. Claudius Marcellus
26,56,Directed,189,mentioned,1,C. Cassius Longius
26,55,Directed,190,mentioned,1,Marcus Junius Brutus
26,188,Directed,191,inferred,1,Caecina of Volaterrae
26,190,Directed,192,mentioned,1,Caecinus Largus
26,189,Directed,193,mentioned,1,L. Cornelius Balbus
26,59,Directed,194,mentioned,1,Gaius Oppius
26,27,Directed,195,mentioned,1,T. Furfanius Postumus
27,26,Directed,196,mentioned,1,Aulus Caecina
27,188,Directed,197,inferred,1,Caecina of Volaterrae
28,37,Directed,198,mentioned,1,Caesar
28,169,Directed,199,mentioned,1,Atticus
28,16,Directed,200,mentioned,1,P. Sestius
28,191,Directed,201,mentioned,1,Postumulenus
28,43,Directed,202,mentioned,1,Dolabella
28,192,Directed,203,mentioned,1,Vestorius
28,193,Directed,204,mentioned,1,Siro the Epicurean
29,37,Directed,205,mentioned,1,Caesar
29,194,Directed,206,mentioned,1,C. Vibius Pansa
29,195,Directed,207,mentioned,1,Aulus Hirtius
29,189,Directed,208,mentioned,1,L. Cornelius Balbus
29,59,Directed,209,mentioned,1,Gaius Oppius
29,135,Directed,210,mentioned,1,M. Curtius Postumus
29,196,Directed,211,mentioned,1,L. Tillius Cimber
29,197,Directed,212,mentioned,1,Eppulieia
29,198,Directed,213,mentioned,1,Ampia
30,37,Directed,214,mentioned,2,Caesar
32,199,Directed,215,inferred,1,Quintus Pompeius
33,189,Directed,216,mentioned,2,L. Cornelius Balbus
33,17,Directed,217,mentioned,1,Pompey
33,37,Directed,218,mentioned,2,Caesar
33,203,Directed,219,mentioned,1,L. Junius Paciaecus
33,184,Directed,220,mentioned,1,M. Valerius Messalla Rufus
33,200,Directed,221,mentioned,1,Quintus Salassus
33,201,Directed,222,mentioned,1,Publius Curtius
33,85,Directed,223,mentioned,1,Tullia
33,43,Directed,224,mentioned,1,Dolabella
33,202,Directed,225,mentioned,1,Quintus Lepta Minor
33,51,Directed,226,mentioned,1,Servius Sulpicius Galba
33,204,Directed,227,inferred,1,Ruspina
33,205,Directed,228,mentioned,1,P. Pompeius Macula
33,59,Directed,229,mentioned,1,Gaius Oppius
34,37,Directed,230,mentioned,1,Caesar
